ID;sentimentScore;isMatch;text
8.49E+21;-1;1;Aktivisten: 35 Tote nach Giftgas-Anschlag in Syrien https://t.co/JOrnT3k6BK #Syrien #Giftgas
8.66E+22;-1;0.5;Deniz #Yücel: Seit 96 Tagen in türkischer Haft - #FreeDeniz https://t.co/89vBuZJHrR
9.00E+22;-1;0.5;Jetzt fordern auch die Autohändler: Industrie muss alte Diesel auf eigene Kosten nachrüsten #Dieselgate  https://t.co/1m1ol1hAMJ
8.83E+22;-1;0.5;Was ich darüber denke  darf ich hier nicht öffentlich sagen. https://t.co/CgDKoDn3y2
8.85E+28;-1;1;Liu Xiaobo ist tot. Wir trauern um ein mutigen und standhaften Streiter für Menschenrechte. Seine Stimme wird fehlen! @WiP_Deutschland
8.74E+22;-1;1;Ein 20-jähriger US-amerikanischer Tourist ist am Sonntagmorgen in der Spree ertrunken. https://t.co/CpbmUlDK3N https://t.…
8.74E+22;-1;1;Das ist eine unverzeihliche Verantwortungslosigkeit. Tausende Menschenleben sind gefährdet. Sofort abschalten https://t.co/DEc0UCd5ic
9.06E+22;-1;1;Das wird in Bayern Wellen schlagen: »Franz Josef Strauß würde AfD wählen« https://t.co/A8AJUMrcWV
9.00E+22;-1;1;und SPDCDU lassen prüfen  ob Stellenanforderung des Datenschützers gerechtfertigt sind.lächerlicher Haufen! https://t.co/vOGGqVdqTA
8.89E+22;-1;1;Berlin-Neukölln: Buchladen schließt nach Drohungen der Antifa https://t.co/C15ACg44x9 https://t.co/epVtLtpZ1e
9.00E+22;-1;1;Vor 25 Jahren begann die rassistische Gewalt in Rostock-#Lichtenhagen. Sie hat meinen Einsatz gegen Ausgrenzung &amp  Gewalt maßgeblich geprägt.
8.84E+22;-1;1;Nordkorea verfügt über Interkontinentalraketen  die Alaska treffen könnte.https://t.co/PdsqWIB0ai
8.55E+22;-1;1;Verfolgung von schwulen Männern in Tschetschenien - das @AuswaertigesAmt hat geantwortet | mit @berlinliebich https://t.co/d6mOVKz8E1
8.40E+22;-1;0.5;Hilfreiche Einordnung: Warum Schulz’ Pläne vielen Arbeitslosen nicht helfen   https://t.co/oYsHTarQ4J via @faznet
8.71E+22;-1;1;Die Gerda hat Recht! SPD konfus. Und Straftäter und Gefährder müssen weiterhin zurück nach Afghanistan https://t.co/kuDHI4qsil
9.01E+22;-1;1;Nach Merkel Besuch in Vacha: junge Wahlkampfhelfer der CDU zusammen geschlagen. Krankenhaus. Polizei ermittelt.
8.38E+22;-1;1;Hersteller betrügen bei #Diesel Abgasen. Wenn #Dobrindt Umrüstung anordnen würde  bräuchten wir Fahrverbote nicht https://t.co/Jz1RhiZG1f
8.80E+22;-1;1;Kalifornien machts vor und warnt vor #Monsanto-Pflanzengift  #Glyphosat -  wegen Krebsgefahr! https://t.co/yopO5lI5ng
8.97E+22;-1;1;#Faktencheck SozialdemokratInnen wurden in der DDR eingesperrt und ermordet. Mit CDU fusionierte Ost-CDU hat Mauer… https://t.co/fV9wgkXOeO
9.08E+22;-1;0.5;#Rentnerin bringt #Merkel ins Stottern. #Altersarmut Deshalb #GrüneGarantierente #Klartext
9.05E+22;-1;1;Heute Eröffnung des Erinnerungsortes für die Opfer des Olympia-Attentats in München :  Unschuldige Opfer mahnen uns
8.98E+22;-1;0.5;Youtuber sind halt keine kritischen Journalisten  eher unterwürfiges Entertainment https://t.co/wfsEtJuGDe
9.07E+22;-1;1;Für wie dumm halten die Altparteien eigentlich den Bürger? #AfD #TrauDichDeutschland #BTW17 https://t.co/B8j5TdmdQG
9.08E+22;-1;1;Razzia! Reichsbürger baute Fake-Waffen zu scharfen Waffen um https://t.co/eB1X6LdGpJ
8.30E+22;-1;1;Rassistische Gewalt &amp  Angriffe auf demokratische Parteien Ergebnis verbaler Hetze von rechten Scharfmachern. Dagege… https://t.co/IA0RlfvoQl
8.98E+21;-1;1;#Sexismus ist es übrigens auch wenn kurze Hosen im #plenumth ein Problem sind kurze Röcke aber völlig in Ordnung #stillneedfeminism
9.11E+22;-1;1;Mücken!Es ist Herbst. Geht sterben!
8.97E+21;-1;0.5;Diese Schlepper müssen vor Gericht und in Haftung genommen werden.https://t.co/ZI0p6fjZvP
8.96E+22;-1;1;AfD plakatiert unerlaubt vor @jmberlin. @JusosBerlin helfen Ordnungsamt beim entfernen. AfD spielt Opfer. https://t.co/mL9ViHzDpP
9.02E+22;-1;1;#Doppelmoral der #Grünen! Das passiert mit unseren Steuergeldern - es ist einfach nur unglaublich. Abwählen!
8.33E+22;-1;0.5;läuft nicht gut für merkel: https://t.co/uYhZJW8OsT
9.05E+22;-1;1;Immer mehr Menschen werden um ihre Lebensleistung betrogen. Jeder Vierte geht jetzt schon mit Abschlägen in Rente.
8.36E+22;-1;1;Das Haft-Protokoll. Bewegender Text von @Besser_Deniz aus dem Knast. https://t.co/0tQR7dHh7y #freedeniz
8.67E+22;-1;1;»In #Mönchengladbach ist die Polizei mit Stimmenauszählung befasst: Wir prüfen ob Wahlbetrug in Betracht kommt.«https://t…
9.19E+22;-1;1;Obdachlose Prostituierte Mord - #Berlin leidet unter RotRotGrün.Video Podcast.https://t.co/vmHclhTe45
8.83E+22;-1;1;Hamburg #G20 aktuell 160 verletzte Beamte! Wahnsinn.
8.43E+22;-1;1;77 Tage umsonst gearbeitet. Das ist ungerecht! Wir wollen den #EqualPayDay nicht erst am 18. März feiern – sondern
8.31E+22;-1;1;Der tägliche Großeinsatz in Chemnitz: Heute Terroralarm #AfD #Hütter https://t.co/ygnS58R0wA
8.59E+22;-1;1;207 #Festnahmen bei der #Demonstration zum #1Mai in #Istanbul. Demonstrant bei Unfall mit Wasserwerfer getötet https://t.co/…
8.89E+22;-1;1;Meinungsmache auf billige Art. #Schulz nennt falsche Zahl. Stimmungsmache á la #AfD. Hat die @spdde das nötig?
8.50E+22;-1;1;#giftgas-Angriff ist Verbrechen. Egal durch wen. Aber: #US-Angriff auf #Syrien ist Irrsinn! IS jubelt! Direkte Konfrontation USA-Russland?
8.65E+22;-1;1;Neue Erkenntnisse im Fall #Amri bestätigen: Sicherheitsbehörden haben versagt und dann versucht zu vertuschen https://t.co/hEO0oDyrwO
9.11E+22;-1;1;Vollpfosten! Ging das nicht auf die Stirn? Jetzt sehe ich ja nichts mehr! https://t.co/gxqFxqEoT4
8.94E+22;-1;1;Atombombe Little Boy zerstörte heute vor 72 Jahren Hiroshima 3 Tage später Fat Man Nagasaki (@einestages-Archiv)
8.76E+22;-1;1;Das ganze System ist krank https://t.co/3eCM8up0Hi
8.84E+22;-1;1;Unser Autor @dermaierjens hat eine Botschaft an linksautonome Krawallmacher in Hamburg: Verpisst euch! https://t.co/fnOFGx1Oaq
9.19E+22;-1;1;Gewaltexzess von vier Stunden Dauer in der JVA Leipzig! #AfD #Hütter https://t.co/rf42mlyu5F
8.40E+22;-1;1;Lichtenberg: Nach #Messerstecherei auf dem Gehweg zusammengebrochen. https://t.co/TLUUIqEJL1 @bzberlin @Reporter_Flash
9.06E+22;-1;1;Ja Armut per Gesetz von Anfang an. Würdelos! https://t.co/qgi5JyED0M
8.99E+22;-1;1;Der islamistische Terror ist schon lange kein Problem mehr eines einzelnen Landes. Deshalb müssen wir in Europa gemeinsam gegen IS kämpfen.
8.25E+22;0;1;@20piraten @rwolupo dafür gibt es doch das Instrument der Namentlichen Abstimmung  oder?
8.57E+22;0;?;Heute Abend trifft sich @Ralf_Stegner mit Olaf Scholz in Kiel. Sei dabei und rede mit! #WirMachenDas https://t.co/nNJqQkE1zD
8.86E+22;0;1;Uff. Geschafft. Einmal Das Berliner Energie- und Klimaschutzprogramm komplett durchgelesen. #BEK @GYGeorg
8.77E+22;0;1;Wir suchen: Sachbearbeiterinnen / Sachbearbeiter für die Abteilung BürgerService/Verkehr https://t.co/5v7uPEHI76
9.06E+22;0;1;Auf zum Infostand am Floraland #Zwönitz #Erzgebirge. Nachmittags dann wieder #TzT Haustürwahlkampf in Mittelsachsen. #btw17 #fedidwgugl #CDU
9.05E+22;0;1;Wer hätte denn DAS gedacht? https://t.co/qtS5zULizd
8.46E+22;0;1;@TimZeelen ich vergaß. <f0><U+009F><U+0098><U+008E>
8.81E+22;0;0;Heute ist Tag der Liebe <U+2764><U+FE0F> #Ehefueralle
8.40E+22;0;1;Rosen verteilen zum internationalen Frauentag mit @EvaHoegl https://t.co/Kqdg4IwtlL
8.44E+22;0;1;Offenes Büro zum Thema Kultur im Kieler Landeshaus.
8.77E+22;0;1;Wir machen's gerecht! - Eine Halbzeit-Bilanz von Rot-Rot-Grün in Thüringen https://t.co/uLcp9AiBai #linke
8.28E+22;0;0;Neues vom #SchwafelSchulz! https://t.co/VY58MbvkvE
8.27E+22;0;1;.@wanderwitz Fit für den weltweiten Medienwettbewerb #DeutscheWelle https://t.co/pwKHy9RiHu
8.61E+22;0;1;Zum Tage. @GrueneFraktionB #tierschutz https://t.co/ctOvN4nr6D
9.18E+22;0;1;LTE bei der BVG - So schnell soll Berlin bald im Untergrund surfen https://t.co/jighJK410G https://t.co/UINHOOSExY
8.28E+22;0;0;Energie und Vertrauen pur! Martin Schulz auf dem #Hessengipfel der #SPD Hessen https://t.co/xnYEteKmAV
9.11E+22;0;1;Gegen Hass in der Politik hilft nur: Wählen gehen! #DarumGrün #btw17 #TrumpUN https://t.co/3TwZz8V5dj
8.51E+22;0;1;#landesparteitag kann beginnen @ Schuppen Eins https://t.co/xWm2JVqalL
8.38E+22;0;0;@Sam_Liban Danke  werde ich haben. Wünsche ich Ihnen auch.
8.95E+22;0;1;Noch bis 30.09. mitmachen beim Joseph-von-Eichendorff-Liederwettbewerb @DtGesellschaft @koschyk https://t.co/aQmYDQgjNJ
8.43E+21;0;1;@bjoern_aigudewi @DB_Bahn Sitzt du gerade im ICE?
8.80E+22;0;1;Grünfläche: Der Stadtpark ist der größte Sportplatz Hamburgs https://t.co/3aShNYGeMS https://t.co/PTOKX2CSWi
8.84E+22;0;1;Gospel Touch Choir - Let it beMein Musiktipp für Euch da draußen im digitalen Orbit  https://t.co/155tY9IR2O
8.70E+22;0;0;Bevor sie es wieder löscht - die erste und einzige Reaktion von @JuliaKloeckner auf die Krebserkrankung von MP #Sellering: htt…
8.88E+22;0;1;@BineB @kendzia_ludwig Boden gehört dem Land Nutzungsrechte hatte das Landratsamt sich übertragen lassen. Zur Umse… https://t.co/8ZMQFeBKlh
8.94E+22;0;1;Gregor Mayntz :Hier finden Sie den vollständigen Artikel: https://t.co/fn9s66qScNGuter Kommentar heute in der RZ Rot/Grün am Ende
8.41E+22;0;1;Schottische Regierungschefin strebt Unabhängigkeitsreferendum an https://t.co/OYXqexwVRJ
8.73E+22;0;1;Der Euro soll mehr als eine Währung sein. Das will die Kommission. Deswegen wird er scheitern. Hier meine Rede da… https://t.co/GXXlWvHCMn
8.90E+22;0;1;Anonymer Verkäufer versteigert Zeichnung von US-Präsident #Trump aus 2005. Sie zeigt Skyline von NYC. Kostenpunkt: mindeste…
8.61E+22;0;1;Sonntagsfrage #btw17 Emnid/BamS • Männer (laut Vorabmeldung der BamS): CDU/CSU 31 %  SPD 25 %  AfD 14 %  LIN 10 %  FDP 6…
8.68E+22;0;1;Merkel wohlfeil:Abrüstung muß auf der Tagesordnung stehen.Keine Frage.Wo war ihre Ini für Abrüstung. Ihre NATO beschließt heute Aufrüstung
9.08E+22;0;0;Ja  ja. Der Primat - FC Hansel von der #AfD zu Tegel <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
8.45E+22;0;0;Mein Freund @schatzbln im #AGH mit großartigen Worten zur lange überfälligen Rehabilitierung &amp  Entschädigung der “175er”. <ed><U+00A0><U+00BC><ed><U+00BC><U+0088> @LinksfraktionB
8.85E+22;0;1;Wenn das BKA seit Jahren Deutsche Journalisten beobachtet  fragt man sich ob auch Kommunikation überwacht wird #G20 https://t.co/d3z52UnMZ5
8.82E+22;0;1;In Zagreb traf @groehe auch Ministerpräsidenten der Republik Kroatien @AndrejPlenkovic. https://t.co/SskbP1xnVU
8.97E+22;0;1;Heute um 22:20 Uhr bei @RTLde: An einem Tisch mit @MartinSchulz - Deutschland fragt nach: https://t.co/ReXPrKpNs8 #btw17
9.03E+22;0;1;Jetzt ist @OlafScholz auf der Bühne. Gleich kommt Martin. #spd #hhbue https://t.co/SRSMcIWiDC
8.30E+22;0;1;Wolf Wetzel:Der #NSU-#VS-Komplex aus Sicht polizeilicher Ermittlungsmethoden https://t.co/MMGyXBcXGq
8.96E+22;0;1;Und wenn es um die Fachkräfte bei #Scansonic geht  setzt das #Unternehmen auch auf unsere Expertise in der #Verbundaus…
8.96E+21;0;1;Die heiße Phase beginnt: Unsere 2<U+FE0F><U+20E3>2<U+FE0F><U+20E3> hessischen Kandidaten für die #btw17 <f0><U+009F><U+0097><U+00B3><U+274C>. #SPD #ZeitfuerGerechtigkeit #ZeitfuerMartin…
8.88E+22;0;1;Gesprächsforum am 26. Juli in #Themar: Rechte #Hasskonzerte - Einordnung  Analyse und Konsequenzenhttps://t.co/PltQ8x0nqS ht…
8.96E+22;0;1;Unser #Regierungsprogramm ist in #Gebärdensprache erschienen: Ansehen! https://t.co/Yf538RnG9E #fedidwgugl https://t.co/oAu4zlNoQk
8.50E+21;0;1;dienstgespräch  -) https://t.co/FL7nEc6XNp
9.04E+22;0;1;Dorffest Stein#enzkreis #badenwürttemberg #dorffest #stein #königsbachstein #politik #politiker… https://t.co/muLWjHicA1
9.05E+22;0;1;Frau Weidel hat richtig gehandelt Was in der Sendung unter Demokratisches Diskutieren verkauft wird ist eine Zumutung..…
8.84E+22;0;1;Ich frage lieber gar nicht  um was es genau geht.
8.45E+22;0;1;Brandenburg Gate in Berlin  tonight. <U+2764><ed><U+00A0><U+00BC><ed><U+00B7><U+00AC><ed><U+00A0><U+00BC><ed><U+00B7><U+00A7> https://t.co/NmeAYd9aWi
9.03E+22;0;1;Frau Beer: Wir empfehlen Ihnen eine Bewerbung bei Donald Trump https://t.co/cxE85XEWgm @DanyWagner_DA @nouripour… https://t.co/v14SDdRKzw
8.96E+22;0;1;Auf dem Weg ins Wochenende. 7 58 kilometer mit dem Nike<U+2060>+ Run Club gelaufen. #running #lokstedt #kollau #niendorf https://t.co/etISCX7yii
8.18E+21;0;1;Es geht voran. Die neue Website ist online. https://t.co/TY2UkLKexk . Noch nicht ganz fertig. Aber fast. https://t.co/dY2tJeLHSz
8.20E+22;0;0;Linkspartei-Freibrief für Holm in @rbbabendschau. Und freches Ultimatum an @spdberlin . Spätestens jetzt muss… https://t.co/EXsyauxMLz
8.33E+22;0;1;@kingknorr @wolfgangbaasch und du bis dabei? <f0><U+009F><U+0098><U+0087>
8.69E+22;0;1;SPD  FDP und Grüne in RLP drängen noch einmal auf kommunale Mittelrheinbrücke - Blockade durch Landrat Bröhr (CDU) beklagt
8.99E+22;0;1;Heute unterwegs in NRW: Straßenwahlkampf in Remscheid und 10-Jahre-Sommerfest der LINKEN in Aachen. https://t.co/mmI9zz822v
9.10E+21;0;1;Hat sich ein Politiker schon mal von @SPIEGELTV begleiten lassen? <f0><U+009F><U+0098><U+0081> Finde ich gut. @c_lindner <f0><U+009F><U+0091><U+008D><f0><U+009F><U+0094><U+009D>#btw17 #FDP
8.59E+22;0;1;FDP präsentiert ihr Wahlprogramm für die Bundestagswahl https://t.co/YlmMmFTIRE https://t.co/iPiEFK7TL6
8.33E+22;0;1;Auf nach Bad Sassendorf! Dort stellt @CDUNRW_de heute die Liste für #btw17 auf. Top Personalangebot für starke #NRW Stimmen in #Berlin! #CDU
8.64E+22;0;1;22 5 Mio. Euro jährlich für neues Förderprogramm: Investitionspakt für soziale Integration im Quartier steht bereit https://t.co/e0obOWrLhy
9.10E+22;0;1;#UnionBusting bei I-SEC. Aufruf zur Solidarität vor Gericht am 22.09.2017!#Arbeitsunrecht #Naujoks https://t.co/tw8BR1xNbR
8.65E+22;0;1;Lebendige Debatte zum Lutherjahr im Landtag mit @FranziskaOL von @Saxgruen https://t.co/EcQzeuwDgZ Ganze Rede? https://t.co/z74zZOy4W3
8.88E+22;0;1;Beim Sommerfest des DGB Baden- Württemberg ist die SPD aus Bund und Land selbstverständlich anwesenden <f0><U+009F><U+0098><U+0080> https://t.co/MyzVGXwlx3
8.41E+22;0;1;Wahlkreistour - Landstraße - Enzkreis. #enzkreis#pforzheim#badenwürttemberg… https://t.co/mhlPFG0kGl
8.45E+22;0;1;Jetzt auf dem Weg zur Personalversammlung bei der#Staatsanwaltschaft. Wichtige Themen: #Personalverstärkung #SicherheitbeiGericht
8.31E+21;0;1;129464 Unterschriften gegen die Kreisreform #vibb
8.58E+22;0;1;Das ist bezeichnend. Es spricht für sich. https://t.co/R9jP8ERkCX
8.80E+22;0;1;Morgen so:@c_lindner:legalize it.@MartinSchulz:gebt das Hanf frei.@AngelaMerkeICDU:Kiffen Gewissensentscheidung.… https://t.co/wGtKCQgXEk
8.47E+22;0;1;Bei #Liverpool fallen einem (fast) nur die  #Beatles ein! In diesem Sinne: ein getting better ins #brexit-Land! https://t.co/3YgwhLJQlD
8.62E+21;0;1;.@jensspahn  nur echt mit Raute -) https://t.co/AsdA3Z24nS
9.10E+22;0;1;Ich habe mich entschieden. #btwahl2017 https://t.co/Fp311ZPoz1
8.25E+22;0;1;@gruenestuttgart.Anna Christmann unsere Bundestagskandidatin  Wahlkreis 2. https://t.co/0y83TDsuDx
8.80E+22;0;0;Warum #txl-Volksbegehren überflüssig ist und @thf100 grandiose Entscheidung war. Toller Kommentar @berlinerzeitung https://…
8.80E+22;0;1;@Ralf_Stegner Geniesse gerade all die Antworten.
8.33E+22;0;1;Dieses Wochenende Münchner Sicherheitskonferenz - jetzt findet die Eröffnung statt. #MSC2017
8.59E+22;0;1;Mit Ansage: https://t.co/2uHQo25Y8z
9.12E+22;0;1;Die SPD geht in die Opposition- Thema heute beim RTL Lokal Tv in Mannheim. https://t.co/r0pA3a4UX5
8.87E+22;0;1;Zur Zeit tanke ich Kraft bei @schrothkur  bleibe aber für Sie erreichbar: https://t.co/A4AMI3llm4 &amp  https://t.co/X5GXVkjQ4m &amp  natürlich hier
8.28E+22;0;1;27./28.4.: #fornet17 mit @hwieduwilt @maxschrems Louisa Specht  Walter Blocher und Schirmherrin @DoroBaer https://t.co/9e9MUg…
8.57E+22;0;1;Heute ist der Tag gegen #Lärm. Ich fordere ein #Nachtflugverbot von 22 bis 6 Uhr. https://t.co/q0fDpdlZJl
9.10E+22;0;1;Wundertasse  ideal für mich und @tsghessen https://t.co/ydZf5mNhLf
9.04E+22;0;0; TV-Duell belastet Koalition.' oder  Kann große Koalition fortgesetzt werden?' Schlagzeilen  die es nach diesem #TVDduell NICHT geben wird.
8.58E+22;0;1;Großes Interesse an landwirtschaftlichen Produkten #Landwirtschaft https://t.co/UtMLfeccgQ
9.04E+22;0;1;Mein Porträt über Angela #Merkel: Weiter so - Die Kanzlerin will es noch einmal wissen https://t.co/QGo3KFxaL6
9.07E+22;0;1;Arbeitskreis Kagenmarkt <f0><U+009F><U+0091><U+008D><f0><U+009F><U+0098><U+008A> Vorbereitung der Präventionsveranstaltung am 19.9.2017 um 16.00 Uhr in der Tarnow-Schule
8.64E+22;0;1;NRW-Signal eindeutig: schwarz-gelb: + 10 7 P <U+2194><U+FE0F> linkes Lager (rrg): - 10 5 P https://t.co/0DUY2Z2T0p
8.42E+22;0;1;@Nico Ist normales Verfahren. Weißt Du auch. Etat wird nach Wahl eh geändert. Bund und Länder müssen sich zudem noch einigen.
8.42E+22;0;1;Es schließen auch keine Praxen in Gegenden ohne Privatpatienten. https://t.co/DYOXFHEuuN https://t.co/iEQDNsfdCA
8.74E+22;0;1;Ich habe ein wenig das Gefühl  einige Journalisten waren am Wochenende auf einem anderen Parteitag als ich. #linkebpt
8.76E+22;0;0;Schöne Nachthupferl #STAMP Parade #altonale17 #altona https://t.co/Rf4O1arApf
9.09E+22;0;1;Am 24.09.2017 Zweitstimme Grün.Ich sag Euch warum <f0><U+009F><U+0098><U+0089>https://t.co/JuHUdLzEH2
8.20E+22;0;1;Kleine Pause für einen Winterspaziergang <f0><U+009F><U+0098><U+0080><f0><U+009F><U+008C><U+00A4><U+2744><U+FE0F> https://t.co/hxF3XYE4v5
8.98E+22;0;1;Kontrollierte Freigabe: Linken-Politiker für Erlaubnis von Pyrotechnik in Stadien | MDR.DE https://t.co/PZahIi3qUB
8.81E+22;0;1;Noch einen Text zum Kaffe? Dann diesen hier von Alexander Osang.  https://t.co/RUpWcelQbT
8.79E+22;0;1;Inzwischen ziehen auch SPD und Grüne Haltelinien für Regierungsbeteiligungen @dieLinke war da mal wieder Trendsetterin. #spdbpt
8.63E+22;0;0;Sehr schöner Artikel. Unbedingt lesen! <f0><U+009F><U+0098><U+008A><f0><U+009F><U+0091><U+008D>Hannelore Kraft - Vom Wahlkampf belebt https://t.co/T5vfvi54qo #nrwir @nrwspd
9.16E+22;0;1;#Tillich war also in Thronfolge von König Kurt nie vorgesehen. Er sollte seine Thronfolgerliste veröffentlichenhttps://t.co/mTVm4EQjyV
8.31E+22;0;1;Warten mit @HKraenzlein auf das Ergebnis der #Bundespräsidentenwahl #meinpraesident #Steinmeier https://t.co/Sj4uCx8uee
8.36E+22;0;1;#BTW #AfDNRW Liste Platz  8 Udo Hemmelgarn und Platz 9 Uwe Kamann. #AfD #LWV Essen #LPT. 9 Plätze war ein erfolgreiches Wochenende <f0><U+009F><U+0098><U+0080><f0><U+009F><U+0091><U+008D>
8.61E+22;0;1;@jensspahn im @ZDF: Rot-Grün wird reihenweise abgewählt. #ltwsh17 https://t.co/QwOpyl4z7k
8.44E+22;0;1;Umfrage @BILDamSONNTAG für #Merkel 46% - #Schulz 38% - Frauen würden zu 53% Merkel wählen - Schulz 28% (Emnid) Keine #ZeitfürMa…
9.04E+22;0;0;Dieses #tvduell war schlechter keins. Verlierer des Abends: Moderation mit ihrer Themenauswahl. Gruselig zukunftsvergessen! #DarumGrün
9.20E+22;0;1;Sagt jemand  der seit Jahren die Privilegien von Milliardären verteidigt #Erbschaftsteuer #CSU https://t.co/yspSAaWVlC
9.20E+22;0;1;@BrigittePothmer @c_eubel Sie bewegt sich aber gerade nicht auf uns  sondern auf die CSU zu.
8.87E+22;0;0;Klares Signal zur Stärkung d #beruflichen #Ausbildung in d ÜAB #Buchen @IHK_RheinNeckar https://t.co/GXgmLhrdv1
8.64E+22;0;1;Keine Verlegung der #Bundeswehr von #Erdogan s Türkei in die nächste Despotie #Jordanien. Abzug jetzt! #Incirlik  https://t.co/Hcbx3mUSyy
9.05E+22;0;1;Grüne fordern eine Milliarde Euro für dieselgeplagte Städte.https://t.co/PL6giZCGb9 #DarumGruen
8.47E+22;0;1;.@rponline Kolumne zeigt wie #Journalisten in den USA bei Pressekonferenzen mit @POTUS arbeiten https://t.co/KWubsMIHOl #pressefreiheit
9.10E+22;0;1;Ach nee  das Interview war letztes Jahr - da konnte man ja schon taktisch zigmal die Meinung ändern <ed><U+00A0><U+00BE><ed><U+00B4><U+0094> https://t.co/Fpvg8hpafm
8.40E+22;0;1;EILMELDUNG: Tusk als EU-Ratspräsident wiedergewählt https://t.co/aMxJrOBZ2Q
8.43E+22;0;1;Wo Adenauer recht hat  hat er recht.#zeitfuermartin https://t.co/QOeSmVQQgZ
9.07E+22;0;1;Mit diesen Forderungen fasst @MartinSchulz zusammen  was uns Sozialdemokraten wichtig ist! #zeitfuermartin https://t.co/hfRVfdmPOi
9.04E+22;0;1;Abgehoben https://t.co/KAcK3Aze7I
8.82E+22;0;1;Was bleibt von der Bundeswehr nach Ursula von der Leyen? https://t.co/J7kTgyrChJ
8.21E+22;0;1;Wir haben die #NPD marginalisiert. Wir bieten Patrioten eine echte Heimat (Jens Maier  #AfD-Kandidat #btw17 in Dresd…
8.93E+22;0;1;Gesprächsabend zu geplanten Änderungen im Kommunalverfassungsgesetz im Landgasthof Zur Alten Post in Ummendorf. #Sommertour
8.42E+22;0;1;@Michael_Huebner @parlementarisme Gibt ja  mehr Gründe. Wissen Sie auch. Sie verteidigen auch Ihre Ministerpräsidentin trotz ihrer Bilanz.
8.79E+22;0;0;Muss man echt nicht haben.. #bleeching https://t.co/K7JRCrNG1s
9.04E+22;0;1;Video | Seit 3 Jahren ist er Straßenmusiker in #Berlin  träumt aber immer noch davon  Orchester-Mitglied zu werden <ed><U+00A0><U+00BC><ed><U+00BE><U+00BC>https://t.c…
8.70E+21;0;1;@schneidercar @ChHickmann Journalisten haben nen Tisch draußen
8.42E+22;0;1;@PiratenBonn Euer Faktencheck war eher ein Vorurteil. Hier die Auswirkung auf Gesamtstellenzahl #Faktencheck https://t.co/FIzEMQmIwZ
8.69E+22;0;1;Berlin  Seehof. https://t.co/ZkKA5pmHuu
8.58E+22;0;1;Das ist ja noch besser. <f0><U+009F><U+0098><U+0089> https://t.co/CiYQ2kKumg
8.56E+22;0;0;Kurz und lesenswert https://t.co/T6NMDj4uEU #FAZplus via @faznet https://t.co/T6NMDj4uEU
9.11E+22;0;1;Die Keynote zur #rbfc17 beim @Reeperbahn_Fest im Wortlaut: https://t.co/1Y4VepRRY9
9.05E+22;0;1;Freue mich auf den Besuch an der #fhkiel https://t.co/V03TTF1pei
9.07E+22;0;1;Und wer ist verantwortlich  Dobrindt von der CSU. Sollte der Wähler am 24.9. beachten. https://t.co/9c6A8bW3Et
8.87E+22;0;1;Jetzt neu  Google Übersetzer für Glückskekse <ed><U+00A0><U+00BD><ed><U+00B8><U+00A8> https://t.co/Ek83QQEfv4
